Symbol,Name,Price,Change,% Change,Volume,Avg Vol,Market Cap (Billions),PE Ratio
AAPL,Apple Inc.,113.85,-3.49,-0.0297,127959000,150549000,1936.000,34.71
MSFT,Microsoft Corporation,210.11,-0.28,-0.0013,25684000,31868000,1589.000,33.89
TSM,Taiwan Semiconductor Manufacturing Company Limited,98.13,2.80,0.0294,8610000,8620000,451.466,44.00
NVDA,NVIDIA Corporation,525.60,2.09,0.0040,9034000,12642000,325.346,85.92
CRM,salesforce.com inc.,257.64,-0.40,-0.0016,5382000,7842000,234.452,99.44
ADBE,Adobe Inc.,460.61,-2.31,-0.0050,2371000,3047000,220.963,58.01
INTC,Intel Corporation,46.06,0.67,0.0148,30126000,33550000,188.754,9.02
ASML,ASML Holding N.V.,427.15,3.56,0.0084,598982,785747,177.354,61.38
CSCO,Cisco Systems Inc.,41.64,0.67,0.0164,19657000,24920000,175.950,16.86
ORCL,Oracle Corporation,56.08,0.38,0.0068,8236000,12984000,168.851,17.64
QCOM,QUALCOMM Incorporated,143.82,-2.21,-0.0151,11655000,8229000,162.660,31.82
AVGO,Broadcom Inc.,387.00,3.67,0.0096,1185000,1842000,156.542,72.68
ACN,Accenture plc,246.20,2.76,0.0113,1289000,1916000,156.206,31.18
TXN,Texas Instruments Incorporated,157.42,0.60,0.0038,2803000,4041000,144.502,29.80
SAP,SAP SE,117.39,0.37,0.0032,1304000,1249000,139.198,28.36
SHOP,Shopify Inc.,980.01,-8.50,-0.0086,1066000,1780000,119.549,605.32
SNE,Sony Corporation,89.79,-0.19,-0.0021,725907,1075000,109.721,18.88
IBM,International Business Machines Corporation,120.09,3.15,0.0269,5650000,5371000,107.007,13.61
AMD,Advanced Micro Devices Inc.,85.31,0.67,0.0079,46505000,51987000,102.603,115.60
NOW,ServiceNow Inc.,522.11,4.05,0.0078,1293000,1368000,101.864,150.29
SQ,Square Inc.,207.91,11.94,0.0609,12216000,9772000,93.754,315.49
FIS,Fidelity National Information Services Inc.,145.32,1.15,0.0080,2235000,3038000,90.172,NaN
INTU,Intuit Inc.,343.33,-4.36,-0.0125,1496000,1279000,90.207,46.11
UBER,Uber Technologies Inc.,50.04,1.61,0.0332,16042000,22162000,88.259,NaN
SNOW,Snowflake Inc.,274.15,8.15,0.0306,1344000,3552000,75.856,NaN
FISV,Fiserv Inc.,112.10,-0.97,-0.0086,2897000,4693000,75.156,85.18
AMAT,Applied Materials Inc.,80.50,3.78,0.0492,8810000,8168000,73.519,20.54
MU,Micron Technology Inc.,64.18,2.78,0.0453,19299000,17840000,71.446,27.06
INFY,Infosys Limited,15.38,0.47,0.0315,5243000,9387000,64.973,26.84
LRCX,Lam Research Corporation,448.74,15.10,0.0348,1089000,1666000,64.623,25.50
VMW,VMware Inc.,148.94,1.14,0.0077,1200000,1119000,62.574,40.40
ADSK,Autodesk Inc.,257.25,2.36,0.0093,1208000,1486000,56.410,157.92
TEAM,Atlassian Corporation Plc,211.05,2.62,0.0126,2530000,1804000,52.594,NaN
DELL,Dell Technologies Inc.,69.38,1.04,0.0152,1402000,1948000,51.807,25.10
ADI,Analog Devices Inc.,137.07,2.19,0.0162,2778000,3067000,50.656,45.84
WDAY,Workday Inc.,207.10,-2.30,-0.0110,4461000,2295000,49.704,NaN
NXPI,NXP Semiconductors N.V.,155.91,5.34,0.0355,2137000,2048000,43.616,NaN
CTSH,Cognizant Technology Solutions Corporation,77.20,1.30,0.0171,1958000,3169000,41.274,28.61
ERIC,Telefonaktiebolaget LM Ericsson (publ),12.05,-0.06,-0.0050,5760000,8492000,40.175,NaN
DOCU,DocuSign Inc.,217.17,-4.42,-0.0199,2353000,5668000,40.212,NaN
PLTR,Palantir Technologies Inc.,21.04,2.89,0.1592,83806000,52088000,39.512,NaN
KLAC,KLA Corporation,250.24,7.67,0.0316,720431,1146000,38.652,30.44
APH,Amphenol Corporation,128.07,0.68,0.0053,1065000,1438000,38.313,33.79
TEL,TE Connectivity Ltd.,112.97,2.29,0.0207,1189000,1620000,37.364,NaN
U,Unity Software Inc.,129.40,6.60,0.0537,2098000,3280000,35.039,NaN
MCHP,Microchip Technology Incorporated,131.62,0.64,0.0049,2388000,1864000,34.271,56.34
STM,STMicroelectronics N.V.,37.51,0.97,0.0265,2170000,2372000,33.554,126.72
SNPS,Synopsys Inc.,216.00,-2.51,-0.0115,708397,729887,32.781,53.48
XLNX,Xilinx Inc.,133.30,0.92,0.0069,2358000,3637000,32.675,54.45
CRWD,CrowdStrike Holdings Inc.,147.54,1.82,0.0125,3273000,5258000,32.378,NaN
SPLK,Splunk Inc.,198.11,-0.83,-0.0042,1042000,1699000,31.776,NaN
CDNS,Cadence Design Systems Inc.,111.25,-1.54,-0.0137,1082000,1560000,31.031,28.84
MRVL,Marvell Technology Group Ltd.,44.60,0.64,0.0146,7402000,9024000,29.948,21.38
OKTA,Okta Inc.,227.83,-4.82,-0.0207,1752000,1382000,29.182,NaN
HPQ,HP Inc.,21.19,0.74,0.0362,8697000,9824000,29.104,12.00
MSI,Motorola Solutions Inc.,169.38,2.08,0.0124,659738,934292,28.714,37.88
PANW,Palo Alto Networks Inc.,296.04,4.03,0.0138,1129000,1239000,28.186,NaN
GLW,Corning Incorporated,36.63,0.33,0.0091,1897000,4388000,27.986,143.65
DDOG,Datadog Inc.,91.04,1.95,0.0219,2163000,4950000,27.725,NaN
FTV-PA,Fortive Corporation,1020.00,3.14,0.0031,483,6552,26.996,667.10
ANSS,ANSYS Inc.,313.42,-4.84,-0.0152,338845,424373,26.918,71.25
WIT,Wipro Limited,5.12,0.06,0.0119,1137000,1516000,26.875,20.73
RNG,RingCentral Inc.,288.24,-6.23,-0.0212,1200000,1048000,25.835,NaN
FTV,Fortive Corporation,71.68,0.36,0.0050,1179000,3216000,24.170,46.88
PAYC,Paycom Software Inc.,402.49,9.78,0.0249,256261,434015,23.196,142.88
SWKS,Skyworks Solutions Inc.,138.03,-2.36,-0.0168,3071000,1904000,22.924,28.76
COUP,Coupa Software Incorporated,315.36,1.15,0.0037,644865,1269000,22.470,NaN
VRSN,VeriSign Inc.,196.57,0.13,0.0007,387083,647558,22.431,28.36
STNE,StoneCo Ltd.,72.67,2.92,0.0419,2905000,2238000,22.396,386.54
GRMN,Garmin Ltd.,114.66,0.17,0.0015,560248,794093,21.927,21.52
MXIM,Maxim Integrated Products Inc.,81.75,1.28,0.0159,1637000,2950000,21.852,32.30
KEYS,Keysight Technologies Inc.,117.15,0.98,0.0084,1098000,1357000,21.708,35.39
FLT,FLEETCOR Technologies Inc.,254.66,0.73,0.0029,1262000,753516,21.239,30.65
NET,Cloudflare Inc.,66.09,-0.46,-0.0069,4659000,5815000,20.310,NaN
ANET,Arista Networks Inc.,268.46,-0.04,-0.0001,470572,738667,20.312,30.04
CAJ,Canon Inc.,18.69,0.20,0.0108,462941,556981,19.434,9.43
ZBRA,Zebra Technologies Corporation,362.69,7.70,0.0217,580033,356138,19.337,41.40
ZS,Zscaler Inc.,143.04,0.03,0.0002,1283000,2238000,19.011,NaN
FTNT,Fortinet Inc.,117.08,-1.04,-0.0088,986574,1272000,19.006,43.70
EPAM,EPAM Systems Inc.,335.69,-5.32,-0.0156,162656,284413,18.795,61.83
CDW,CDW Corporation,131.22,-0.73,-0.0055,1103000,837936,18.763,25.88
GIB,CGI Inc.,71.43,0.24,0.0034,123048,160561,18.490,24.06
